Text,Label
neutrino beam method demonstration doublet structure leptons discovery muon neutrino,0
discoveries important principles drug treatment,1
determination dimensional structure photosynthetic reaction centre,4
determination dimensional structure photosynthetic reaction centre,4
determination dimensional structure photosynthetic reaction centre,4
works rich nuance clear sightedly realistic evocatively ambiguous formed arabian narrative art applies mankind,3
discoveries important principles drug treatment,1
discoveries important principles drug treatment,1
pioneering contributions theory markets efficient utilization resources,5
discovery catalytic properties rna,4
discovery catalytic properties rna,4
development ion trap technique,0
invention separated oscillatory fields method use hydrogen maser atomic clocks,0
discovery cellular origin retroviral oncogenes,1
development ion trap technique,0
clarification probability theory foundations econometrics analyses simultaneous economic structures,5
rich intensive prose restrained compassion forms challenging vision man s vulnerability,3
advocating peaceful solutions based tolerance mutual respect order preserve historical cultural heritage people,2
discovery cellular origin retroviral oncogenes,1
impassioned writing wide horizons characterized sensuous intelligence humanistic integrity,3
pioneering investigations concerning deep inelastic scattering electrons protons bound neutrons essential importance development quark model particle physics,0
pioneering investigations concerning deep inelastic scattering electrons protons bound neutrons essential importance development quark model particle physics,0
pioneering investigations concerning deep inelastic scattering electrons protons bound neutrons essential importance development quark model particle physics,0
pioneering work theory financial economics,5
pioneering work theory financial economics,5
discoveries concerning organ cell transplantation treatment human disease,1
leading role played radical changes east west relations,2
discoveries concerning organ cell transplantation treatment human disease,1
pioneering work theory financial economics,5
development theory methodology organic synthesis,4
discovery clarification significance transaction costs property rights institutional structure functioning economy,5
magnificent epic writing words alfred nobel great benefit humanity,3
discoveries concerning function single ion channels cells,1
discovering methods developed studying order phenomena simple systems generalized complex forms matter particular liquid crystals polymers,0
non violent struggle democracy human rights,2
discoveries concerning function single ion channels cells,1
contributions development methodology high resolution nuclear magnetic resonance nmr spectroscopy,4
poetic oeuvre great luminosity sustained historical vision outcome multicultural commitment,3
discoveries concerning reversible protein phosphorylation biological regulatory mechanism,1
contributions theory electron transfer reactions chemical systems,4
having extended domain microeconomic analysis wide range human behaviour interaction including nonmarket behaviour,5
struggle social justice ethno cultural reconciliation based respect rights indigenous peoples,2
invention development particle detectors particular multiwire proportional chamber,0
discoveries concerning reversible protein phosphorylation biological regulatory mechanism,1
discovery new type pulsar discovery opened new possibilities study gravitation,0
discovery new type pulsar discovery opened new possibilities study gravitation,0
novels characterized visionary force poetic import gives life essential aspect american reality,3
having renewed research economic history applying economic theory quantitative methods order explain economic institutional change,5
fundamental contributions establishment oligonucleotide based site directed mutagenesis development protein studies,4
discoveries split genes,1
discoveries split genes,1
invention polymerase chain reaction pcr method,4
work peaceful termination apartheid regime laying foundations new democratic south africa,2
having renewed research economic history applying economic theory quantitative methods order explain economic institutional change,5
work peaceful termination apartheid regime laying foundations new democratic south africa,2
discovery g proteins role proteins signal transduction cells,1
discovery g proteins role proteins signal transduction cells,1
contribution carbocation chemistry,4
development neutron spectroscopy,0
development neutron diffraction technique,0
poetic force creates imagined world life myth condense form disconcerting picture human predicament today,3
efforts create peace middle east,2
efforts create peace middle east,2
efforts create peace middle east,2
pioneering analysis equilibria theory non cooperative games,5
pioneering analysis equilibria theory non cooperative games,5
pioneering analysis equilibria theory non cooperative games,5
detection neutrino,0
discoveries concerning genetic control early embryonic development,1
work atmospheric chemistry particularly concerning formation decomposition ozone,4
work atmospheric chemistry particularly concerning formation decomposition ozone,4
having developed applied hypothesis rational expectations having transformed macroeconomic analysis deepened understanding economic policy,5
works lyrical beauty ethical depth exalt everyday miracles living past,3
work atmospheric chemistry particularly concerning formation decomposition ozone,4
discoveries concerning genetic control early embryonic development,1
efforts diminish played nuclear arms international politics longer run eliminate arms,2
efforts diminish played nuclear arms international politics longer run eliminate arms,2
discovery tau lepton,0
discoveries concerning genetic control early embryonic development,1
discovery superfluidity helium,0
discovery superfluidity helium,0
discovery superfluidity helium,0
discoveries concerning specificity cell mediated immune defence,1
discoveries concerning specificity cell mediated immune defence,1
discovery fullerenes,4
poetry ironic precision allows historical biological context come light fragments human reality,3
work just peaceful solution conflict east timor,2
work just peaceful solution conflict east timor,2
discovery fullerenes,4
fundamental contributions economic theory incentives asymmetric information,5
discovery fullerenes,4
fundamental contributions economic theory incentives asymmetric information,5
emulates jesters middle ages scourging authority upholding dignity downtrodden,3
elucidation enzymatic mechanism underlying synthesis adenosine triphosphate atp,4
discovery ion transporting enzyme na k atpase,4
new method determine value derivatives,5
discovery prions new biological principle infection,1
development methods cool trap atoms laser light,0
new method determine value derivatives,5
development methods cool trap atoms laser light,0
development methods cool trap atoms laser light,0
work banning clearing anti personnel mines,2
work banning clearing anti personnel mines,2
elucidation enzymatic mechanism underlying synthesis adenosine triphosphate atp,4
contributions welfare economics,5
discovery new form quantum fluid fractionally charged excitations,0
parables sustained imagination compassion irony continually enables apprehend elusory reality,3
discovery new form quantum fluid fractionally charged excitations,0
development density functional theory,4
discoveries concerning nitric oxide signalling molecule cardiovascular,1
discoveries concerning nitric oxide signalling molecule cardiovascular,1
discoveries concerning nitric oxide signalling molecule cardiovascular,1
development computational methods quantum chemistry,4
efforts peaceful solution conflict northern ireland,2
efforts peaceful solution conflict northern ireland,2
discovery new form quantum fluid fractionally charged excitations,0
frolicsome black fables portray forgotten face history,3
studies transition states chemical reactions using femtosecond spectroscopy,4
recognition organisation s pioneering humanitarian work continents,2
elucidating quantum structure electroweak interactions physics,0
elucidating quantum structure electroweak interactions physics,0
analysis monetary fiscal policy different exchange rate regimes analysis optimum currency areas,5
discovery proteins intrinsic signals govern transport localization cell,1
discovery development conductive polymers,4
uvre universal validity bitter insights linguistic ingenuity opened new paths chinese novel drama,3
development theory methods analyzing discrete choice,5
development theory methods analyzing selective samples,5
discovery development conductive polymers,4
discovery development conductive polymers,4
discoveries concerning signal transduction nervous,1
developing semiconductor heterostructures used high speed opto electronics,0
developing semiconductor heterostructures used high speed opto electronics,0
work democracy human rights south korea east asia general peace reconciliation north korea particular,2
discoveries concerning signal transduction nervous,1
discoveries concerning signal transduction nervous,1
invention integrated circuit,0
analyses markets asymmetric information,5
work better organized peaceful world,2
work better organized peaceful world,2
having united perceptive narrative incorruptible scrutiny works compel presence suppressed histories,3
analyses markets asymmetric information,5
analyses markets asymmetric information,5
work chirally catalysed oxidation reactions,4
development click chemistry bioorthogonal chemistry,4
work chirally catalysed hydrogenation reactions,4
work chirally catalysed hydrogenation reactions,4
achievement bose einstein condensation dilute gases alkali atoms early fundamental studies properties condensates,0
achievement bose einstein condensation dilute gases alkali atoms early fundamental studies properties condensates,0
achievement bose einstein condensation dilute gases alkali atoms early fundamental studies properties condensates,0
discoveries key regulators cell cycle,1
discoveries key regulators cell cycle,1
discoveries key regulators cell cycle,1
decades untiring effort peaceful solutions international conflicts advance democracy human rights promote economic social development,2
writing upholds fragile experience individual barbaric arbitrariness history,3
having integrated insights psychological research economic science especially concerning human judgment decision making uncertainty,5
development nuclear magnetic resonance spectroscopy determining dimensional structure biological macromolecules solution,4
development soft desorption ionisation methods mass spectrometric analyses biological macromolecules,4
development soft desorption ionisation methods mass spectrometric analyses biological macromolecules,4
having established laboratory experiments tool empirical economic analysis especially study alternative market mechanisms,5
pioneering contributions astrophysics particular detection cosmic neutrinos,0
pioneering contributions astrophysics particular detection cosmic neutrinos,0
discoveries concerning genetic regulation organ development programmed cell death,1
discoveries concerning genetic regulation organ development programmed cell death,1
discoveries concerning genetic regulation organ development programmed cell death,1
pioneering contributions astrophysics led discovery cosmic x ray sources,0
efforts democracy human rights focused especially struggle rights women children,2
methods analyzing economic time series common trends cointegration,5
methods analyzing economic time series time varying volatility arch,5
structural mechanistic studies ion channels,4
discovery water channels,4
pioneering contributions theory superconductors superfluids,0
pioneering contributions theory superconductors superfluids,0
discoveries concerning magnetic resonance imaging,1
discoveries concerning magnetic resonance imaging,1
innumerable guises portrays surprising involvement outsider,3
pioneering contributions theory superconductors superfluids,0
contributions dynamic macroeconomics time consistency economic policy driving forces business cycles,5
discovery ubiquitin mediated protein degradation,4
contributions dynamic macroeconomics time consistency economic policy driving forces business cycles,5
contribution sustainable development democracy peace,2
musical flow voices counter voices novels plays extraordinary linguistic zeal reveal absurdity society s clich eacute s subjugating power,3
discovery ubiquitin mediated protein degradation,4
discovery asymptotic freedom theory strong interaction,0
discovery asymptotic freedom theory strong interaction,0
discovery asymptotic freedom theory strong interaction,0
discoveries odorant receptors organization olfactory,1
discoveries odorant receptors organization olfactory,1
discovery ubiquitin mediated protein degradation,4
plays uncovers precipice everyday prattle forces entry oppression s closed rooms,3
having enhanced understanding conflict cooperation game theory analysis,5
efforts prevent nuclear energy used military purposes ensure nuclear energy peaceful purposes used safest possible way,2
efforts prevent nuclear energy used military purposes ensure nuclear energy peaceful purposes used safest possible way,2
development metathesis method organic synthesis,4
development metathesis method organic synthesis,4
having enhanced understanding conflict cooperation game theory analysis,5
contributions development laser based precision spectroscopy including optical frequency comb technique,0
contributions development laser based precision spectroscopy including optical frequency comb technique,0
contribution quantum theory optical coherence,0
discovery bacterium helicobacter pylori role gastritis peptic ulcer disease,1
discovery bacterium helicobacter pylori role gastritis peptic ulcer disease,1
development metathesis method organic synthesis,4
efforts create economic social development,2
efforts create economic social development,2
quest melancholic soul native city discovered new symbols clash interlacing cultures,3
analysis intertemporal tradeoffs macroeconomic policy,5
studies molecular basis eukaryotic transcription,4
discovery blackbody form anisotropy cosmic microwave background radiation,0
discovery rna interference gene silencing double stranded rna,1
discovery rna interference gene silencing double stranded rna,1
discovery blackbody form anisotropy cosmic microwave background radiation,0
having laid foundations mechanism design theory,5
having laid foundations mechanism design theory,5
having laid foundations mechanism design theory,5
efforts build disseminate greater knowledge man climate change lay foundations measures needed counteract change,2
efforts build disseminate greater knowledge man climate change lay foundations measures needed counteract change,2
studies chemical processes solid surfaces,4
epicist female experience scepticism visionary power subjected divided civilisation scrutiny,3
discovery giant magnetoresistance,0
discoveries principles introducing specific gene modifications mice use embryonic stem cells,1
discoveries principles introducing specific gene modifications mice use embryonic stem cells,1
discoveries principles introducing specific gene modifications mice use embryonic stem cells,1
discovery giant magnetoresistance,0
important efforts continents decades resolve international conflicts,2
author new departures poetic adventure sensual ecstasy explorer humanity reigning civilization,3
discovery development green fluorescent protein gfp,4
discovery development green fluorescent protein gfp,4
discovery development green fluorescent protein gfp,4
discovery origin broken symmetry predicts existence families quarks nature,0
analysis trade patterns location economic activity,5
discovery mechanism spontaneous broken symmetry subatomic physics,0
discovery human immunodeficiency virus,1
discovery human immunodeficiency virus,1
discovery human papilloma viruses causing cervical cancer,1
discovery origin broken symmetry predicts existence families quarks nature,0
analysis economic governance especially boundaries firm,5
analysis economic governance especially commons,5
extraordinary efforts strengthen international diplomacy cooperation peoples,2
concentration poetry frankness prose depicts landscape dispossessed,3
studies structure function ribosome,4
studies structure function ribosome,4
studies structure function ribosome,4
invention imaging semiconductor circuit ccd sensor,0
groundbreaking achievements concerning transmission light fibers optical communication,0
discovery chromosomes protected telomeres enzyme telomerase,1
discovery chromosomes protected telomeres enzyme telomerase,1
discovery chromosomes protected telomeres enzyme telomerase,1
invention imaging semiconductor circuit ccd sensor,0
analysis markets search frictions,5
cartography structures power trenchant images individual s resistance revolt defeat,3
analysis markets search frictions,5
long non violent struggle fundamental human rights china,2
palladium catalyzed cross couplings organic synthesis,4
analysis markets search frictions,5
palladium catalyzed cross couplings organic synthesis,4
groundbreaking experiments regarding dimensional material graphene,0
groundbreaking experiments regarding dimensional material graphene,0
development vitro fertilization,1
palladium catalyzed cross couplings organic synthesis,4
empirical research cause effect macroeconomy,5
non violent struggle safety women women s rights participation peace building work,2
non violent struggle safety women women s rights participation peace building work,2
non violent struggle safety women women s rights participation peace building work,2
condensed translucent images gives fresh access reality,3
discovery quasicrystals,4
empirical research cause effect macroeconomy,5
discovery accelerating expansion universe observations distant supernovae,0
discovery accelerating expansion universe observations distant supernovae,0
discovery dendritic cell role adaptive immunity,1
discoveries concerning activation innate immunity,1
discoveries concerning activation innate immunity,1
discovery accelerating expansion universe observations distant supernovae,0
theory stable allocations practice market design,5
theory stable allocations practice market design,5
decades contributed advancement peace reconciliation democracy human rights europe,2
hallucinatory realism merges folk tales history contemporary,3
studies g protein coupled receptors,4
studies g protein coupled receptors,4
ground breaking experimental methods enable measuring manipulation individual quantum systems,0
discovery mature cells reprogrammed pluripotent,1
discovery mature cells reprogrammed pluripotent,1
ground breaking experimental methods enable measuring manipulation individual quantum systems,0
empirical analysis asset prices,5
development multiscale models complex chemical systems,4
empirical analysis asset prices,5
empirical analysis asset prices,5
extensive efforts eliminate chemical weapons,2
master contemporary short story,3
development multiscale models complex chemical systems,4
development multiscale models complex chemical systems,4
theoretical discovery mechanism contributes understanding origin mass subatomic particles recently confirmed discovery predicted fundamental particle atlas cms experiments cern s large hadron collider,0
theoretical discovery mechanism contributes understanding origin mass subatomic particles recently confirmed discovery predicted fundamental particle atlas cms experiments cern s large hadron collider,0
discoveries machinery regulating vesicle traffic major transport cells,1
discoveries machinery regulating vesicle traffic major transport cells,1
discoveries machinery regulating vesicle traffic major transport cells,1
analysis market power regulation,5
struggle suppression children young people right children education,2
art memory evoked ungraspable human destinies uncovered life world occupation,3
development super resolved fluorescence microscopy,4
development super resolved fluorescence microscopy,4
development super resolved fluorescence microscopy,4
struggle suppression children young people right children education,2
invention efficient blue light emitting diodes enabled bright energy saving white light sources,0
invention efficient blue light emitting diodes enabled bright energy saving white light sources,0
discoveries cells constitute positioning brain,1
discoveries cells constitute positioning brain,1
discoveries cells constitute positioning brain,1
invention efficient blue light emitting diodes enabled bright energy saving white light sources,0
analysis consumption poverty welfare,5
decisive contribution building pluralistic democracy tunisia wake jasmine revolution,2
polyphonic writings monument suffering courage time,3
mechanistic studies dna repair,4
mechanistic studies dna repair,4
mechanistic studies dna repair,4
discovery neutrino oscillations shows neutrinos mass,0
discoveries concerning novel therapy malaria,1
discoveries concerning novel therapy infections caused roundworm parasites,1
discoveries concerning novel therapy infections caused roundworm parasites,1
discovery neutrino oscillations shows neutrinos mass,0
contributions contract theory,5
design synthesis molecular machines,4
contributions contract theory,5
resolute efforts bring country s year long civil war end,2
design synthesis molecular machines,4
having created new poetic expressions great american song tradition,3
theoretical discoveries topological phase transitions topological phases matter,0
theoretical discoveries topological phase transitions topological phases matter,0
theoretical discoveries topological phase transitions topological phases matter,0
discoveries mechanisms autophagy,1
design synthesis molecular machines,4
work draw attention catastrophic humanitarian consequences use nuclear weapons ground breaking efforts achieve treaty based prohibition weapons,2
novels great emotional force uncovered abyss beneath illusory sense connection world,3
developing cryo electron microscopy high resolution structure determination biomolecules solution,4
developing cryo electron microscopy high resolution structure determination biomolecules solution,4
developing cryo electron microscopy high resolution structure determination biomolecules solution,4
decisive contributions ligo detector observation gravitational waves,0
contributions behavioural economics,5
decisive contributions ligo detector observation gravitational waves,0
discoveries molecular mechanisms controlling circadian rhythm,1
discoveries molecular mechanisms controlling circadian rhythm,1
discoveries molecular mechanisms controlling circadian rhythm,1
decisive contributions ligo detector observation gravitational waves,0
narrative imagination encyclopedic passion represents crossing boundaries form life,3
integrating technological innovations long run macroeconomic analysis,5
integrating climate change long run macroeconomic analysis,5
efforts end use sexual violence weapon war armed conflict,2
efforts end use sexual violence weapon war armed conflict,2
phage display peptides antibodies,4
phage display peptides antibodies,4
directed evolution enzymes,4
method generating high intensity ultra short optical pulses,0
optical tweezers application biological systems,0
discovery cancer therapy inhibition negative immune regulation,1
discovery cancer therapy inhibition negative immune regulation,1
method generating high intensity ultra short optical pulses,0
development lithium ion batteries,4
experimental approach alleviating global poverty,5
experimental approach alleviating global poverty,5
influential work linguistic ingenuity explored periphery specificity human experience,3
experimental approach alleviating global poverty,5
development lithium ion batteries,4
efforts achieve peace international cooperation particular decisive initiative resolve border conflict neighbouring eritrea,2
discovery exoplanet orbiting solar type star,0
discovery exoplanet orbiting solar type star,0
theoretical discoveries physical cosmology,0
discoveries cells sense adapt oxygen availability,1
discoveries cells sense adapt oxygen availability,1
discoveries cells sense adapt oxygen availability,1
development lithium ion batteries,4
improvements auction theory inventions new auction formats,5
improvements auction theory inventions new auction formats,5
efforts combat hunger contribution bettering conditions peace conflict affected areas acting driving force efforts prevent use hunger weapon war conflict,2
unmistakable poetic voice austere beauty makes individual existence universal,3
development method genome editing,4
development method genome editing,4
discovery supermassive compact object centre galaxy,0
discovery black hole formation robust prediction general theory relativity,0
discovery hepatitis c virus,1
discovery hepatitis c virus,1
discovery hepatitis c virus,1
discovery supermassive compact object centre galaxy,0
uncompromising compassionate penetration effects colonialism fate refugee gulf cultures continents,3
methodological contributions analysis causal relationships,5
empirical contributions labour economics,5
efforts safeguard freedom expression precondition democracy lasting peace,2
methodological contributions analysis causal relationships,5
efforts safeguard freedom expression precondition democracy lasting peace,2
development asymmetric organocatalysis,4
physical modelling earth s climate quantifying variability reliably predicting global warming,0
discovery interplay disorder fluctuations physical systems atomic planetary scales,0
physical modelling earth s climate quantifying variability reliably predicting global warming,0
discoveries receptors temperature touch,1
discoveries receptors temperature touch,1
development asymmetric organocatalysis,4
research banks financial crises,5
peace prize laureates represent civil society home countries years promoted right criticise power protect fundamental rights citizens outstanding effort document war crimes human right abuses abuse power demonstrate significance civil society peace democracy,2
peace prize laureates represent civil society home countries years promoted right criticise power protect fundamental rights citizens outstanding effort document war crimes human right abuses abuse power demonstrate significance civil society peace democracy,2
peace prize laureates represent civil society home countries years promoted right criticise power protect fundamental rights citizens outstanding effort document war crimes human right abuses abuse power demonstrate significance civil society peace democracy,2
courage clinical acuity uncovers roots estrangements collective restraints personal memory,3
development click chemistry bioorthogonal chemistry,4
experiments entangled photons establishing violation bell inequalities pioneering quantum information science,0
experiments entangled photons establishing violation bell inequalities pioneering quantum information science,0
experiments entangled photons establishing violation bell inequalities pioneering quantum information science,0
discoveries concerning genomes extinct hominins human evolution,1
work chirally catalysed oxidation reactions,4
development click chemistry bioorthogonal chemistry,4
research banks financial crises,5
development click chemistry bioorthogonal chemistry,4
research banks financial crises,5
